,SeriousDlqin2yrs,RevolvingUtilizationOfUnsecuredLines,age,NumberOfTime30-59DaysPastDueNotWorse,DebtRatio,MonthlyIncome,NumberOfOpenCreditLinesAndLoans,NumberOfTimes90DaysLate,NumberRealEstateLoansOrLines,NumberOfTime60-89DaysPastDueNotWorse,NumberOfDependents
SeriousDlqin2yrs,1.0,-0.0017638554492665857,-0.1134937049105398,0.2744338493551608,-0.007218321971061182,-0.01919792937940288,-0.025401144740137074,0.31455406395015706,-0.004728927305820061,0.2680949362289512,0.04693371022848254
RevolvingUtilizationOfUnsecuredLines,-0.0017638554492665857,1.0,-0.005983405588637296,-0.002849047274518702,0.003940688051139659,0.007111326202954226,-0.011519047738549755,-0.0018206207710891621,0.006139476875442567,-0.0024583029538481254,0.001499616777699636
age,-0.1134937049105398,-0.005983405588637296,1.0,-0.07226908015975562,0.023938803019720033,0.03677847850024838,0.14479134785436593,-0.08268201166331801,0.031283424512729065,-0.07022394328082908,-0.215863238303892
NumberOfTime30-59DaysPastDueNotWorse,0.2744338493551608,-0.002849047274518702,-0.07226908015975562,1.0,0.0032631909695388724,-0.002033250515250837,0.07860129275569412,0.2180470833006753,0.041626059071029814,0.3057111689347552,0.06287999326546902
DebtRatio,-0.007218321971061182,0.003940688051139659,0.023938803019720033,0.0032631909695388724,1.0,-0.028759078297575357,0.048490886313296,-0.009946033055158884,0.1194636851870915,-0.004324386163658657,-0.0412063759766227
MonthlyIncome,-0.01919792937940288,0.007111326202954226,0.03677847850024838,-0.002033250515250837,-0.028759078297575357,1.0,0.0906370997142484,-0.019938570383182853,0.12445933322098725,-0.011601383778108591,0.06228586591441656
NumberOfOpenCreditLinesAndLoans,-0.025401144740137074,-0.011519047738549755,0.14479134785436593,0.07860129275569412,0.048490886313296,0.0906370997142484,1.0,-0.09490506060915571,0.4303122765151232,-0.022972693494596463,0.06182161554088399
NumberOfTimes90DaysLate,0.31455406395015706,-0.0018206207710891621,-0.08268201166331801,0.2180470833006753,-0.009946033055158884,-0.019938570383182853,-0.09490506060915571,1.0,-0.0630806771596569,0.2946077188376715,0.030373470099156207
NumberRealEstateLoansOrLines,-0.004728927305820061,0.006139476875442567,0.031283424512729065,0.041626059071029814,0.1194636851870915,0.12445933322098725,0.4303122765151232,-0.0630806771596569,1.0,-0.021401615881547518,0.12254490567031213
NumberOfTime60-89DaysPastDueNotWorse,0.2680949362289512,-0.0024583029538481254,-0.07022394328082908,0.3057111689347552,-0.004324386163658657,-0.011601383778108591,-0.022972693494596463,0.2946077188376715,-0.021401615881547518,1.0,0.03633997786741077
NumberOfDependents,0.04693371022848254,0.001499616777699636,-0.215863238303892,0.06287999326546902,-0.0412063759766227,0.06228586591441656,0.06182161554088399,0.030373470099156207,0.12254490567031213,0.03633997786741077,1.0
